area_sqft,bedrooms,bathrooms,stories,garage_spaces,age_years,distance_to_city_km,school_rating,crime_rate,location,condition,has_pool,has_garden,price
2123.0,3,2,1,1.0,5.3,8.24,10.0,0.57,Rural,Good,0,0,285409.0
1710.0,2,2,1,0.0,2.6,15.79,8.0,0.08,Rural,Good,0,0,228892.0
2221.0,3,3,1,3.0,8.6,5.33,5.2,1.8,Suburban,Good,0,1,376233.0
2790.0,2,1,2,0.0,7.7,1.16,5.8,0.22,Rural,Good,0,0,324567.0
1648.0,4,2,2,2.0,12.9,2.73,7.6,1.58,Suburban,Excellent,1,1,314202.0
1648.0,5,4,1,1.0,13.1,8.69,7.3,6.76,Urban,Good,0,0,339057.0
2826.0,2,1,2,1.0,20.8,7.6,5.5,3.18,Urban,Excellent,0,0,534187.0
2299.0,6,4,2,2.0,10.7,6.06,3.8,0.2,Rural,Fair,0,0,314596.0
1495.0,3,2,1,0.0,1.7,9.19,10.0,0.63,Suburban,Good,0,0,299774.0
2153.0,3,2,1,2.0,29.3,8.12,6.2,2.8,Rural,Good,0,0,230660.0
1499.0,2,2,2,2.0,5.6,17.05,5.9,5.63,Rural,Fair,0,1,172289.0
1497.0,3,3,3,2.0,53.3,7.06,6.7,0.08,Suburban,Good,0,0,229425.0
1957.0,4,3,1,1.0,1.9,12.06,6.1,4.18,Urban,Good,0,1,399841.0
556.0,4,2,1,2.0,47.6,2.29,6.7,2.06,Urban,Good,0,0,205034.0
679.0,2,2,1,2.0,1.4,9.07,8.8,1.97,Urban,Good,0,0,218166.0
1435.0,2,1,2,2.0,3.9,18.6,6.3,7.91,Urban,Good,0,1,304344.0
1142.0,3,2,1,1.0,0.7,3.9,4.4,3.44,Suburban,Fair,1,1,229370.0
2004.0,3,3,1,2.0,18.3,12.08,6.2,4.74,Urban,Good,0,0,402701.0
1210.0,3,2,2,3.0,28.5,10.32,5.7,1.09,Urban,Fair,0,0,284109.0
882.0,3,2,2,2.0,8.5,0.49,9.1,2.02,Suburban,Fair,0,0,204470.0
2753.0,4,2,1,1.0,39.6,6.97,8.6,2.39,Urban,Poor,0,1,454687.0
1653.0,5,4,1,1.0,13.4,1.12,6.7,0.97,Suburban,Poor,0,0,271890.0
1844.0,3,2,2,1.0,14.9,27.37,4.2,2.11,Suburban,Fair,0,1,255101.0
874.0,5,4,1,1.0,28.0,13.35,4.3,0.68,Suburban,Poor,0,0,156659.0
1446.0,3,2,1,1.0,5.3,0.93,6.5,0.39,Rural,Fair,0,1,256995.0
1872.0,3,2,2,1.0,6.6,1.04,7.1,1.17,Urban,Good,0,0,378064.0
1052.0,3,2,1,2.0,35.5,7.22,5.8,3.36,Urban,Poor,0,0,184447.0
2044.0,4,2,2,0.0,34.7,3.38,5.6,6.2,Rural,Good,0,1,224011.0
